fixture_id,time_elapsed,time_extra,team_id,team_name,player_id,player_name,assist_id,assist_name,type,detail,comments,ingestion_date,source_file
1208514,34,,547,Girona,2061,Bryan Gil,2182.0,V. Tsyhankov,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,53,,547,Girona,2182,V. Tsyhankov,,,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,56,,547,Girona,155,Abel Ruiz,2449.0,Y. Herrera,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,58,,727,Osasuna,46662,Moncayola,46658.0,Rubén García,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,58,,727,Osasuna,46746,A. Budimir,146751.0,Raúl García,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,59,,727,Osasuna,67939,Aimar Oroz,139001.0,Pablo Ibáñez,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,64,,547,Girona,2449,Y. Herrera,18949.0,Oriol Romeu,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,64,,547,Girona,109564,B. Miovski,2617.0,C. Stuani,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,68,,727,Osasuna,286639,Bryan Zaragoza,288800.0,Iker Benito,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,74,,547,Girona,155,Abel Ruiz,281795.0,Y. Asprilla,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,80,,547,Girona,2061,Bryan Gil,547.0,D. van de Beek,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,81,,547,Girona,2182,V. Tsyhankov,47520.0,Portu,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,85,,727,Osasuna,1825,Lucas Torró,46660.0,Javi Martínez,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208514,90,,547,Girona,2617,C. Stuani,547.0,D. van de Beek,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208514_events.json
1208516,5,,534,Las Palmas,182519,Alberto Moleiro,19337.0,O. McBurnie,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,40,,541,Real Madrid,653,Ferland Mendy,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,46,,541,Real Madrid,744,Brahim Díaz,10009.0,Rodrygo,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,46,,541,Real Madrid,653,F. Mendy,736.0,Fran García,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,61,,534,Las Palmas,182519,Alberto Moleiro,47111.0,Benito Ramírez,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,64,,541,Real Madrid,754,L. Modrić,291964.0,A. Güler,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,69,,541,Real Madrid,762,Vinícius Júnior,,,Goal,Penalty,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,76,,541,Real Madrid,757,Lucas Vázquez,733.0,Dani Carvajal,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,78,,534,Las Palmas,47324,Sandro Ramírez,46854.0,Viti Rozada,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,78,,534,Las Palmas,19337,O. McBurnie,2671.0,Jaime Mata,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,81,,534,Las Palmas,47464,José Campaña,21709.0,E. Loiodice,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,81,,534,Las Palmas,70315,Kirian Rodríguez,122230.0,Manu Fuster,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,86,,541,Real Madrid,762,Vinícius Júnior,377122.0,Endrick,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208516,88,,541,Real Madrid,372,Éder Militão,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208516_events.json
1208519,16,,548,Real Sociedad,182546,Jon Pacheco,,,Card,Yellow Card,Off the ball foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,28,,548,Real Sociedad,47323,Mikel Oyarzabal,,,Var,Card upgrade,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,29,,548,Real Sociedad,47323,Mikel Oyarzabal,,,Card,Red Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,33,,548,Real Sociedad,47440,Brais Méndez,23.0,Sergio Gómez,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,36,,548,Real Sociedad,47314,Igor Zubeldia,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,45,6.0,542,Alaves,104853,Asier Villalibre,,,Goal,Penalty,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,46,,548,Real Sociedad,182546,Jon Pacheco,405073.0,Jon Martín,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,46,,542,Alaves,6085,C. Benavídez,46740.0,Stoichkov,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,48,,542,Alaves,46740,Stoichkov,,,Card,Yellow Card,Argument,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,49,,542,Alaves,183751,Abderrahman Rebbach,,,Card,Yellow Card,Argument,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,63,,542,Alaves,104853,Asier Villalibre,47396.0,Kike García,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,63,,542,Alaves,70476,M. Diarra,64309.0,Manu Sánchez,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,66,,548,Real Sociedad,37938,S. Becker,31406.0,U. Sadiq,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,70,,542,Alaves,183751,A. Rebbach,47181.0,Toni Martínez,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,77,,542,Alaves,47181,Toni Martínez,,,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,81,,548,Real Sociedad,23,Sergio Gómez,182603.0,Jon Olasagasti,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,81,,548,Real Sociedad,47440,Brais Méndez,290106.0,Pablo Marín,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,81,,548,Real Sociedad,47314,Zubeldia,183744.0,Beñat Turrientes,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,90,7.0,548,Real Sociedad,405073,Jon Martin,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,90,7.0,548,Real Sociedad,32862,Takefusa Kubo,,,Card,Yellow Card,Argument,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,90,7.0,542,Alaves,64309,Manuel Sánchez,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,90,,542,Alaves,47353,Antonio Sivera,,,Card,Yellow Card,Time wasting,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208519,90,1.0,542,Alaves,187214,Carlos Vicente,162686.0,Antonio Blanco,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208519_events.json
1208521,15,,531,Athletic Club,183799,Nico Williams,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,34,,531,Athletic Club,47271,Yeray Álvarez,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,35,,531,Athletic Club,128398,Oihan Sancet,,,Card,Yellow Card,Argument,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,64,,531,Athletic Club,182617,Beñat Prados,47418.0,Mikel Vesga,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,64,,531,Athletic Club,47291,Gorka Guruzeta,190489.0,Álvaro Djaló,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,64,,531,Athletic Club,898,Ander Herrera,383780.0,Mikel Jauregizar,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,70,,530,Atletico Madrid,6009,J. Alvarez,136117.0,Rodrigo Riquelme,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,70,,530,Atletico Madrid,126936,Samuel Lino,8492.0,A. Sørloth,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,70,,530,Atletico Madrid,67972,C. Gallagher,2472.0,R. De Paul,subst,Substitution 3,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,71,,531,Athletic Club,47294,I. Williams,30510.0,Álex Berenguer,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,81,,531,Athletic Club,128398,Oihan Sancet,332308.0,Unai Gómez,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,83,,530,Atletico Madrid,56,A. Griezmann,323935.0,G. Simeone,subst,Substitution 4,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,85,,530,Atletico Madrid,50,Koke,,,Card,Yellow Card,Foul,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,88,,530,Atletico Madrid,50,Koke,53.0,Á. Correa,subst,Substitution 5,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208521,90,2.0,530,Atletico Madrid,53,Á. Correa,8492.0,A. Sørloth,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208521_events.json
1208522,20,,529,Barcelona,1496,Raphinha,396623.0,Pau Cubarsí,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208522_events.json
1208522,24,,529,Barcelona,521,R. Lewandowski,386828.0,Lamine Yamal,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208522_events.json
1208522,45,,720,Valladolid,740,Javi Sánchez,,,Card,Yellow Card,Handball,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208522_events.json
1208522,45,2.0,529,Barcelona,1257,J. Koundé,,,Goal,Normal Goal,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208522_events.json
1208522,56,,720,Valladolid,122233,Marcos André,162028.0,Juanmi Latasa,subst,Substitution 1,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208522_events.json
1208522,57,,720,Valladolid,8587,S. Amallah,331004.0,Chuky,subst,Substitution 2,,2026-05-04,raw/api_football/fixture_events/2026-04-29/fixture_1208522_events.json
