player_id,player_name,first_name,last_name,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,league_id,league_name,league_country,season,position,rating,captain,appearances,lineups,minutes,subs_in,subs_out,subs_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,ingestion_date,source_file
119,R. Falcao,Radamel Falcao,García Zárate,39,Colombia,177,72,False,https://media.api-sports.io/football/players/119.png,1986-02-10,Santa Marta,Colombia,728,Rayo Vallecano,140,La Liga,Spain,2024,Forward,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
583,João Félix,João,Félix Sequeira,26,Portugal,181,70,False,https://media.api-sports.io/football/players/583.png,1999-11-10,Viseu,Portugal,529,Barcelona,140,La Liga,Spain,2024,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
583,João Félix,João,Félix Sequeira,26,Portugal,181,70,False,https://media.api-sports.io/football/players/583.png,1999-11-10,Viseu,Portugal,530,Atletico Madrid,140,La Liga,Spain,2024,Attacker,,False,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
619,Eric García,Eric,García Martret,24,Spain,180,77,False,https://media.api-sports.io/football/players/619.png,2001-01-09,Martorell,Spain,547,Girona,140,La Liga,Spain,2024,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
619,Eric García,Eric,García Martret,24,Spain,180,77,False,https://media.api-sports.io/football/players/619.png,2001-01-09,Martorell,Spain,529,Barcelona,140,La Liga,Spain,2024,Defender,6.978571,False,29.0,14.0,1555.0,15.0,5.0,18.0,11.0,8.0,2.0,0.0,3.0,,1197.0,6.0,,36.0,7.0,16.0,130.0,73.0,9.0,4.0,,8.0,17.0,4.0,0.0,0.0,,,0.0,0.0,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
855,João Cancelo,João Pedro,Cavaco Cancelo,31,Portugal,182,74,False,https://media.api-sports.io/football/players/855.png,1994-05-27,Barreiro,Portugal,529,Barcelona,140,La Liga,Spain,2024,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
915,Gabriel Paulista,Gabriel Armando,de Abreu,35,Brazil,185,72,False,https://media.api-sports.io/football/players/915.png,1990-11-26,São Paulo,Brazil,530,Atletico Madrid,140,La Liga,Spain,2024,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
2273,Kepa,Kepa,Arrizabalaga Revuelta,31,Spain,189,84,False,https://media.api-sports.io/football/players/2273.png,1994-10-03,Ondárroa,Spain,541,Real Madrid,140,La Liga,Spain,2024,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
2824,N. Maksimović,Nemanja,Maksimović,30,Serbia,189,69,False,https://media.api-sports.io/football/players/2824.png,1995-01-26,Banja Koviljača,Serbia,546,Getafe,140,La Liga,Spain,2024,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
18907,Joselu,José Luis,Sanmartín Mato,35,Spain,191,82,False,https://media.api-sports.io/football/players/18907.png,1990-03-27,Stuttgart,Germany,541,Real Madrid,140,La Liga,Spain,2024,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,raw/api_football/players/2026-04-30/players_league_140_2024_page_1.json
